Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,ship_days,order_month,order_quarter,order_dayofweek,order_year,order_day,margin_potential
Standard Class,Consumer,Kent,Washington,98031,West,Furniture,Furnishings,198.46,2,0.0,99.23,7,7,3,5,2017,8,198.46
Standard Class,Consumer,Washington,District of Columbia,20016,East,Furniture,Furnishings,41.37,3,0.0,17.3754,6,5,2,3,2016,26,41.37
Standard Class,Home Office,Suffolk,Virginia,23434,South,Furniture,Furnishings,109.8,9,0.0,46.116,4,8,3,3,2016,4,109.8
Standard Class,Home Office,Auburn,Washington,98002,West,Furniture,Furnishings,4.18,1,0.0,1.5048,6,11,4,6,2016,13,4.18
Standard Class,Consumer,Oceanside,New York,11572,East,Furniture,Furnishings,18.96,2,0.0,8.532,5,12,4,0,2017,18,18.96
Standard Class,Consumer,Richmond,Indiana,47374,Central,Furniture,Furnishings,17.31,3,0.0,5.193,6,12,4,3,2016,1,17.31
Standard Class,Consumer,Columbus,Indiana,47201,Central,Furniture,Furnishings,121.3,2,0.0,25.473,5,8,3,3,2017,10,121.3
Standard Class,Consumer,Little Rock,Arkansas,72209,South,Furniture,Furnishings,22.2,6,0.0,9.102,5,6,2,6,2014,1,22.2
Standard Class,Home Office,Seattle,Washington,98103,West,Furniture,Furnishings,191.82,3,0.0,74.8098,6,9,3,6,2015,6,191.82
Standard Class,Consumer,La Porte,Indiana,46350,Central,Furniture,Furnishings,526.45,5,0.0,31.587,5,6,2,0,2017,26,526.45
Standard Class,Corporate,Bangor,Maine,4401,East,Furniture,Furnishings,109.48,2,0.0,33.9388,5,9,3,5,2016,17,109.48
Standard Class,Corporate,Columbus,Georgia,31907,South,Furniture,Furnishings,595.38,6,0.0,297.69,5,4,2,0,2015,20,595.38
Standard Class,Corporate,Middletown,Connecticut,6457,East,Furniture,Furnishings,181.95,3,0.0,38.2095,4,12,4,5,2017,23,181.95
Standard Class,Home Office,Waynesboro,Virginia,22980,South,Furniture,Furnishings,127.88,2,0.0,40.9216,5,3,1,6,2016,13,127.88
Standard Class,Corporate,Seattle,Washington,98103,West,Furniture,Furnishings,7.4,2,0.0,3.034,5,12,4,3,2017,28,7.4
Standard Class,Consumer,Farmington,New Mexico,87401,West,Furniture,Furnishings,545.85,9,0.0,114.6285,7,7,3,0,2017,3,545.85
Standard Class,Corporate,Westfield,New Jersey,7090,East,Furniture,Furnishings,129.93,3,0.0,12.993,5,5,2,1,2017,2,129.93
Standard Class,Consumer,Henderson,Kentucky,42420,South,Furniture,Furnishings,821.88,6,0.0,213.6888,4,11,4,6,2017,19,821.88
Standard Class,Home Office,Lafayette,Indiana,47905,Central,Furniture,Furnishings,526.45,5,0.0,31.587,5,7,3,6,2017,9,526.45
Standard Class,Home Office,Alexandria,Virginia,22304,South,Furniture,Furnishings,62.82,3,0.0,30.7818,5,1,1,6,2014,26,62.82
Standard Class,Home Office,Alexandria,Virginia,22304,South,Furniture,Furnishings,12.42,3,0.0,4.4712,5,1,1,6,2014,26,12.42
Standard Class,Consumer,Seattle,Washington,98103,West,Furniture,Furnishings,39.96,2,0.0,17.1828,5,5,2,0,2017,15,39.96
Standard Class,Corporate,Seattle,Washington,98115,West,Furniture,Furnishings,109.9,5,0.0,37.366,6,1,1,4,2016,22,109.9
Standard Class,Consumer,Seattle,Washington,98105,West,Furniture,Furnishings,107.53,1,0.0,21.506,6,2,1,0,2017,13,107.53
Standard Class,Home Office,Columbus,Georgia,31907,South,Furniture,Furnishings,76.92,4,0.0,31.5372,4,3,1,4,2016,11,76.92
Standard Class,Consumer,Las Cruces,New Mexico,88001,West,Furniture,Furnishings,41.37,3,0.0,17.3754,5,11,4,4,2017,3,41.37
Standard Class,Home Office,Franklin,Massachusetts,2038,East,Furniture,Furnishings,124.36,2,0.0,27.3592,7,9,3,1,2015,1,124.36
Standard Class,Corporate,Roswell,Georgia,30076,South,Furniture,Furnishings,56.28,6,0.0,15.7584,7,4,2,5,2017,8,56.28
Standard Class,Corporate,Rochester,New York,14609,East,Furniture,Furnishings,69.08,11,0.0,29.0136,6,10,4,0,2017,23,69.08
Standard Class,Home Office,Saginaw,Michigan,48601,Central,Furniture,Furnishings,19.76,4,0.0,8.2992,6,11,4,5,2017,18,19.76
Standard Class,Home Office,Columbus,Georgia,31907,South,Furniture,Furnishings,24.96,4,0.0,6.24,5,5,2,2,2016,25,24.96
Standard Class,Consumer,West Jordan,Utah,84084,West,Furniture,Furnishings,66.69,3,0.0,22.0077,6,11,4,6,2015,8,66.69
Standard Class,Consumer,Monroe,Louisiana,71203,South,Furniture,Furnishings,29.16,2,0.0,10.7892,5,6,2,3,2015,11,29.16
Standard Class,Home Office,Meridian,Idaho,83642,West,Furniture,Furnishings,41.96,2,0.0,2.9372,5,10,4,4,2017,6,41.96
Standard Class,Corporate,Newark,Delaware,19711,East,Furniture,Furnishings,124.41,3,0.0,14.9292,5,11,4,0,2014,17,124.41
Standard Class,Consumer,Hempstead,New York,11550,East,Furniture,Furnishings,28.44,3,0.0,11.376,6,12,4,4,2015,4,28.44
Standard Class,Consumer,Jackson,Mississippi,39212,South,Furniture,Furnishings,133.38,6,0.0,58.6872,5,12,4,2,2016,14,133.38
Standard Class,Home Office,Columbia,Maryland,21044,East,Furniture,Furnishings,25.16,2,0.0,8.5544,6,8,3,0,2017,21,25.16
Standard Class,Home Office,Columbia,Maryland,21044,East,Furniture,Furnishings,91.92,4,0.0,31.2528,6,8,3,0,2017,21,91.92
Standard Class,Consumer,Macon,Georgia,31204,South,Furniture,Furnishings,142.4,5,0.0,52.688,5,9,3,6,2014,14,142.4
Standard Class,Consumer,Clinton,Maryland,20735,East,Furniture,Furnishings,181.96,2,0.0,20.0156,5,7,3,3,2015,9,181.96
Standard Class,Corporate,Rochester,New York,14609,East,Furniture,Furnishings,37.93,1,0.0,6.8274,5,12,4,6,2017,24,37.93
Standard Class,Home Office,Jackson,Mississippi,39212,South,Furniture,Furnishings,18.92,4,0.0,7.3788,4,12,4,1,2016,20,18.92
Standard Class,Consumer,Dover,Delaware,19901,East,Furniture,Furnishings,76.14,3,0.0,26.649,5,11,4,5,2015,14,76.14
Standard Class,Consumer,North Las Vegas,Nevada,89031,West,Furniture,Furnishings,134.01,9,0.0,36.1827,7,7,3,5,2014,26,134.01
Standard Class,Consumer,Seattle,Washington,98103,West,Furniture,Furnishings,35.34,2,0.0,13.4292,4,9,3,2,2014,17,35.34
Standard Class,Consumer,Detroit,Michigan,48205,Central,Furniture,Furnishings,5.47,1,0.0,2.3521,5,4,2,4,2014,4,5.47
Standard Class,Home Office,Seattle,Washington,98115,West,Furniture,Furnishings,22.77,3,0.0,9.7911,5,12,4,4,2017,15,22.77
Standard Class,Consumer,Kenosha,Wisconsin,53142,Central,Furniture,Furnishings,373.08,6,0.0,82.0776,4,3,1,6,2015,8,373.08
Standard Class,Home Office,Seattle,Washington,98115,West,Furniture,Furnishings,63.47,11,0.0,19.041,5,10,4,5,2014,11,63.47
Standard Class,Consumer,Freeport,New York,11520,East,Furniture,Furnishings,322.59,3,0.0,64.518,6,11,4,5,2015,28,322.59
Standard Class,Home Office,Baltimore,Maryland,21215,East,Furniture,Furnishings,1049.2,5,0.0,272.792,6,11,4,1,2017,28,1049.2
Standard Class,Home Office,Baltimore,Maryland,21215,East,Furniture,Furnishings,20.9,5,0.0,7.524,6,11,4,1,2017,28,20.9
Standard Class,Corporate,Lakewood,New Jersey,8701,East,Furniture,Furnishings,9.96,2,0.0,3.2868,4,4,2,5,2016,16,9.96
Standard Class,Consumer,Richmond,Virginia,23223,South,Furniture,Furnishings,82.38,6,0.0,25.5378,4,12,4,3,2017,7,82.38
Standard Class,Consumer,New Rochelle,New York,10801,East,Furniture,Furnishings,60.72,3,0.0,26.1096,7,9,3,6,2016,18,60.72
Standard Class,Corporate,Springfield,Missouri,65807,Central,Furniture,Furnishings,37.3,2,0.0,17.158,4,11,4,3,2016,10,37.3
Standard Class,Corporate,Richmond,Indiana,47374,Central,Furniture,Furnishings,20.32,4,0.0,6.9088,6,2,1,3,2014,20,20.32
Standard Class,Home Office,Rome,New York,13440,East,Furniture,Furnishings,39.08,4,0.0,14.4596,6,7,3,0,2017,17,39.08
Standard Class,Home Office,Seattle,Washington,98115,West,Furniture,Furnishings,15.84,3,0.0,4.9104,4,7,3,5,2017,8,15.84
Standard Class,Home Office,Jackson,Michigan,49201,Central,Furniture,Furnishings,33.48,4,0.0,8.7048,6,12,4,0,2016,12,33.48
Standard Class,Corporate,Seattle,Washington,98115,West,Furniture,Furnishings,79.92,4,0.0,34.3656,7,1,1,6,2016,10,79.92
Standard Class,Consumer,Detroit,Michigan,48205,Central,Furniture,Furnishings,272.94,3,0.0,30.0234,6,7,3,6,2016,31,272.94
Standard Class,Home Office,Henderson,Kentucky,42420,South,Furniture,Furnishings,27.58,2,0.0,11.5836,5,11,4,0,2017,20,27.58
Standard Class,Consumer,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,123.96,3,0.0,11.1564,4,5,2,4,2015,8,123.96
Standard Class,Home Office,Trenton,Michigan,48183,Central,Furniture,Furnishings,53.88,6,0.0,22.6296,4,8,3,4,2014,8,53.88
Standard Class,Corporate,Oklahoma City,Oklahoma,73120,Central,Furniture,Furnishings,30.36,4,0.0,13.0548,4,11,4,6,2016,13,30.36
Standard Class,Consumer,Columbia,Maryland,21044,East,Furniture,Furnishings,164.22,3,0.0,50.9082,4,9,3,5,2014,20,164.22
Standard Class,Corporate,Rochester,Minnesota,55901,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,5,9,3,5,2015,5,6.16
Standard Class,Consumer,Yonkers,New York,10701,East,Furniture,Furnishings,14.89,1,0.0,4.0203,4,7,3,3,2017,27,14.89
Standard Class,Corporate,Oceanside,New York,11572,East,Furniture,Furnishings,68.95,5,0.0,28.959,5,2,1,6,2016,21,68.95
Standard Class,Consumer,Newark,Delaware,19711,East,Furniture,Furnishings,10.68,4,0.0,4.0584,6,8,3,1,2014,26,10.68
Standard Class,Consumer,Wichita,Kansas,67212,Central,Furniture,Furnishings,70.56,6,0.0,23.9904,4,12,4,3,2016,29,70.56
Standard Class,Corporate,Oak Park,Michigan,48237,Central,Furniture,Furnishings,273.96,2,0.0,71.2296,4,4,2,5,2017,8,273.96
Standard Class,Corporate,Oak Park,Michigan,48237,Central,Furniture,Furnishings,306.9,3,0.0,79.794,4,4,2,5,2017,8,306.9
Standard Class,Home Office,Olathe,Kansas,66062,Central,Furniture,Furnishings,40.56,2,0.0,12.9792,7,9,3,4,2014,12,40.56
Standard Class,Consumer,Edmonds,Washington,98026,West,Furniture,Furnishings,68.46,2,0.0,20.538,4,12,4,4,2017,29,68.46
Standard Class,Corporate,Jackson,Mississippi,39212,South,Furniture,Furnishings,6.16,2,0.0,1.9712,4,12,4,0,2015,14,6.16
Standard Class,Home Office,Clinton,Maryland,20735,East,Furniture,Furnishings,19.98,1,0.0,8.5914,4,10,4,2,2017,4,19.98
Standard Class,Corporate,La Crosse,Wisconsin,54601,Central,Furniture,Furnishings,68.64,11,0.0,17.16,5,9,3,6,2016,25,68.64
Standard Class,Corporate,Dearborn,Michigan,48126,Central,Furniture,Furnishings,60.84,3,0.0,23.1192,7,3,1,6,2017,26,60.84
Standard Class,Corporate,Morristown,New Jersey,7960,East,Furniture,Furnishings,74.45,5,0.0,20.1015,5,4,2,4,2017,14,74.45
Standard Class,Corporate,Alexandria,Virginia,22304,South,Furniture,Furnishings,192.22,14,0.0,69.1992,5,1,1,6,2015,4,192.22
Standard Class,Home Office,Roseville,Minnesota,55113,Central,Furniture,Furnishings,29.22,3,0.0,12.8568,4,11,4,1,2015,10,29.22
Standard Class,Consumer,Bloomington,Indiana,47401,Central,Furniture,Furnishings,127.95,3,0.0,21.7515,4,9,3,5,2016,24,127.95
Standard Class,Consumer,Richmond,Indiana,47374,Central,Furniture,Furnishings,71.12,4,0.0,22.0472,6,4,2,6,2016,3,71.12
Standard Class,Corporate,Westfield,New Jersey,7090,East,Furniture,Furnishings,31.56,3,0.0,10.4148,5,11,4,6,2016,27,31.56
Standard Class,Corporate,Fayetteville,Arkansas,72701,South,Furniture,Furnishings,8.92,4,0.0,3.9248,4,10,4,5,2014,11,8.92
Standard Class,Consumer,Hattiesburg,Mississippi,39401,South,Furniture,Furnishings,185.58,6,0.0,76.0878,6,7,3,1,2016,19,185.58
Standard Class,Corporate,Nashua,New Hampshire,3060,East,Furniture,Furnishings,21.12,4,0.0,6.5472,7,12,4,6,2016,25,21.12
Standard Class,Consumer,Georgetown,Kentucky,40324,South,Furniture,Furnishings,42.6,3,0.0,16.614,4,9,3,6,2016,4,42.6
Standard Class,Corporate,Seattle,Washington,98103,West,Furniture,Furnishings,65.94,3,0.0,22.4196,7,8,3,4,2017,18,65.94
Standard Class,Home Office,Seattle,Washington,98105,West,Furniture,Furnishings,22.14,3,0.0,6.4206,5,11,4,4,2015,20,22.14
Standard Class,Consumer,Columbus,Indiana,47201,Central,Furniture,Furnishings,6.24,3,0.0,2.6208,6,5,2,0,2017,29,6.24
Standard Class,Corporate,Montgomery,Alabama,36116,South,Furniture,Furnishings,21.36,8,0.0,8.1168,6,9,3,1,2015,8,21.36
Standard Class,Consumer,Westland,Michigan,48185,Central,Furniture,Furnishings,272.94,3,0.0,30.0234,6,1,1,0,2014,20,272.94
Standard Class,Consumer,Westland,Michigan,48185,Central,Furniture,Furnishings,14.73,3,0.0,4.8609,6,1,1,0,2014,20,14.73
Standard Class,Home Office,Louisville,Kentucky,40214,South,Furniture,Furnishings,13.28,2,0.0,6.3744,6,9,3,3,2016,22,13.28
Standard Class,Home Office,Providence,Rhode Island,2908,East,Furniture,Furnishings,72.42,6,0.0,23.8986,6,12,4,4,2016,2,72.42
Standard Class,Home Office,Louisville,Kentucky,40214,South,Furniture,Furnishings,20.94,3,0.0,6.0726,4,7,3,4,2015,24,20.94
Standard Class,Consumer,Salem,Virginia,24153,South,Furniture,Furnishings,8.8,5,0.0,3.872,6,7,3,4,2017,21,8.8
Standard Class,Corporate,Clinton,Maryland,20735,East,Furniture,Furnishings,60.72,3,0.0,23.6808,5,12,4,1,2014,2,60.72
Standard Class,Consumer,Louisville,Kentucky,40214,South,Furniture,Furnishings,209.88,3,0.0,35.6796,7,4,2,1,2015,21,209.88
Standard Class,Home Office,Charlottesville,Virginia,22901,South,Furniture,Furnishings,67.96,4,0.0,12.2328,7,9,3,5,2015,5,67.96
Standard Class,Home Office,Hot Springs,Arkansas,71901,South,Furniture,Furnishings,159.92,4,0.0,31.984,7,4,2,4,2016,8,159.92
Standard Class,Corporate,Lakewood,New Jersey,8701,East,Furniture,Furnishings,47.4,5,0.0,18.96,4,9,3,4,2017,15,47.4
Standard Class,Consumer,Atlanta,Georgia,30318,South,Furniture,Furnishings,129.93,3,0.0,12.993,7,9,3,6,2015,13,129.93
Standard Class,Consumer,Seattle,Washington,98105,West,Furniture,Furnishings,6.24,3,0.0,2.6208,4,6,2,1,2014,17,6.24
Standard Class,Corporate,Columbus,Georgia,31907,South,Furniture,Furnishings,20.32,4,0.0,6.9088,4,9,3,0,2017,18,20.32
Standard Class,Corporate,North Charleston,South Carolina,29406,South,Furniture,Furnishings,14.76,2,0.0,4.2804,5,12,4,6,2017,10,14.76
Standard Class,Consumer,Columbus,Georgia,31907,South,Furniture,Furnishings,51.75,1,0.0,15.525,5,7,3,3,2016,14,51.75
Standard Class,Consumer,Newark,Delaware,19711,East,Furniture,Furnishings,19.92,4,0.0,6.5736,6,11,4,0,2016,14,19.92
Standard Class,Home Office,Richmond,Indiana,47374,Central,Furniture,Furnishings,27.46,2,0.0,9.8856,5,11,4,6,2017,26,27.46
Standard Class,Home Office,Virginia Beach,Virginia,23464,South,Furniture,Furnishings,111.15,5,0.0,48.906,5,11,4,0,2014,24,111.15
Standard Class,Home Office,Seattle,Washington,98103,West,Furniture,Furnishings,19.54,2,0.0,7.2298,4,11,4,6,2016,13,19.54
Standard Class,Home Office,Superior,Wisconsin,54880,Central,Furniture,Furnishings,47.4,5,0.0,21.33,5,5,2,0,2016,30,47.4
Standard Class,Home Office,Helena,Montana,59601,West,Furniture,Furnishings,63.98,7,0.0,21.7532,4,11,4,4,2015,13,63.98
Standard Class,Corporate,Oklahoma City,Oklahoma,73120,Central,Furniture,Furnishings,57.69,3,0.0,23.6529,5,6,2,0,2016,20,57.69
Standard Class,Consumer,Bellevue,Washington,98006,West,Furniture,Furnishings,20.24,1,0.0,7.8936,5,5,2,1,2015,26,20.24
Standard Class,Consumer,Atlanta,Georgia,30318,South,Furniture,Furnishings,25.71,3,0.0,9.2556,6,7,3,5,2014,26,25.71
Standard Class,Consumer,Omaha,Nebraska,68104,Central,Furniture,Furnishings,1336.44,14,0.0,387.5676,5,9,3,1,2016,13,1336.44
Standard Class,Consumer,Seattle,Washington,98103,West,Furniture,Furnishings,43.13,1,0.0,14.6642,5,9,3,3,2016,8,43.13
Standard Class,Consumer,Long Beach,New York,11561,East,Furniture,Furnishings,31.68,6,0.0,9.8208,4,11,4,5,2014,1,31.68
Standard Class,Corporate,Bossier City,Louisiana,71111,South,Furniture,Furnishings,129.92,4,0.0,10.3936,4,10,4,2,2014,22,129.92
Standard Class,Consumer,Arlington,Virginia,22204,South,Furniture,Furnishings,60.84,3,0.0,19.4688,6,6,2,3,2015,18,60.84
Standard Class,Consumer,Fayetteville,Arkansas,72701,South,Furniture,Furnishings,343.85,5,0.0,137.54,4,12,4,6,2016,25,343.85
Standard Class,Home Office,Cambridge,Massachusetts,2138,East,Furniture,Furnishings,26.72,1,0.0,11.7568,4,3,1,5,2017,11,26.72
Standard Class,Corporate,East Point,Georgia,30344,South,Furniture,Furnishings,27.42,3,0.0,9.3228,6,6,2,1,2015,23,27.42
Standard Class,Home Office,Arlington,Virginia,22204,South,Furniture,Furnishings,61.1,5,0.0,18.33,6,10,4,3,2016,20,61.1
Standard Class,Consumer,Columbus,Georgia,31907,South,Furniture,Furnishings,62.72,4,0.0,24.4608,5,1,1,3,2017,26,62.72
Standard Class,Corporate,Lawrence,Massachusetts,1841,East,Furniture,Furnishings,31.4,5,0.0,13.188,4,4,2,3,2015,30,31.4
Standard Class,Corporate,Lawrence,Massachusetts,1841,East,Furniture,Furnishings,9.48,1,0.0,3.792,4,4,2,3,2015,30,9.48
Standard Class,Corporate,Lawrence,Massachusetts,1841,East,Furniture,Furnishings,24.3,5,0.0,10.449,4,4,2,3,2015,30,24.3
Standard Class,Consumer,Athens,Georgia,30605,South,Furniture,Furnishings,186.54,3,0.0,41.0388,4,8,3,4,2016,26,186.54
Standard Class,Home Office,Seattle,Washington,98105,West,Furniture,Furnishings,82.26,3,0.0,33.7266,7,11,4,3,2016,24,82.26
Standard Class,Home Office,Danbury,Connecticut,6810,East,Furniture,Furnishings,27.46,2,0.0,9.8856,7,12,4,5,2017,23,27.46
Standard Class,Corporate,Newark,Delaware,19711,East,Furniture,Furnishings,83.92,4,0.0,5.8744,4,7,3,5,2017,8,83.92
Standard Class,Corporate,Newark,Delaware,19711,East,Furniture,Furnishings,39.98,2,0.0,9.1954,4,7,3,5,2017,8,39.98
Standard Class,Consumer,Lakewood,New Jersey,8701,East,Furniture,Furnishings,40.48,2,0.0,17.4064,4,10,4,3,2017,12,40.48
Standard Class,Corporate,Baltimore,Maryland,21215,East,Furniture,Furnishings,274.2,10,0.0,112.422,5,11,4,2,2017,8,274.2
Standard Class,Consumer,Paterson,New Jersey,7501,East,Furniture,Furnishings,12.99,1,0.0,1.5588,6,12,4,0,2017,4,12.99
Standard Class,Corporate,Columbus,Georgia,31907,South,Furniture,Furnishings,20.24,1,0.0,8.7032,4,3,1,6,2016,27,20.24
Standard Class,Corporate,Columbus,Georgia,31907,South,Furniture,Furnishings,39.92,4,0.0,11.1776,4,3,1,6,2016,27,39.92
Standard Class,Consumer,Seattle,Washington,98105,West,Furniture,Furnishings,139.58,7,0.0,39.0824,5,4,2,3,2017,27,139.58
Standard Class,Corporate,Columbia,Maryland,21044,East,Furniture,Furnishings,27.42,3,0.0,9.3228,4,7,3,4,2016,22,27.42
Standard Class,Corporate,Utica,New York,13501,East,Furniture,Furnishings,40.48,2,0.0,14.5728,4,9,3,0,2016,12,40.48
Standard Class,Home Office,Harrisonburg,Virginia,22801,South,Furniture,Furnishings,39.96,2,0.0,14.3856,4,11,4,6,2015,15,39.96
Standard Class,Home Office,Paterson,New Jersey,7501,East,Furniture,Furnishings,8.92,4,0.0,3.9248,7,9,3,4,2015,11,8.92
Standard Class,Corporate,Seattle,Washington,98105,West,Furniture,Furnishings,70.68,12,0.0,31.0992,5,12,4,4,2017,1,70.68
Standard Class,Corporate,Virginia Beach,Virginia,23464,South,Furniture,Furnishings,177.68,2,0.0,46.1968,6,4,2,2,2014,2,177.68
Standard Class,Corporate,Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings,99.95,5,0.0,22.9885,6,12,4,0,2017,18,99.95
Standard Class,Corporate,Green Bay,Wisconsin,54302,Central,Furniture,Furnishings,16.74,2,0.0,4.3524,5,3,1,0,2016,14,16.74
Standard Class,Corporate,Springfield,Missouri,65807,Central,Furniture,Furnishings,9.68,2,0.0,3.7752,6,12,4,3,2015,24,9.68
Standard Class,Consumer,Marlborough,Massachusetts,1752,East,Furniture,Furnishings,14.82,3,0.0,6.2244,5,9,3,5,2016,17,14.82
Standard Class,Consumer,Marlborough,Massachusetts,1752,East,Furniture,Furnishings,191.82,3,0.0,61.3824,5,9,3,5,2016,17,191.82
Standard Class,Consumer,Henderson,Kentucky,42420,South,Furniture,Furnishings,318.08,4,0.0,34.9888,7,2,1,1,2016,16,318.08
Standard Class,Corporate,Laurel,Maryland,20707,East,Furniture,Furnishings,27.46,2,0.0,9.8856,4,5,2,6,2017,28,27.46
Standard Class,Home Office,Seattle,Washington,98105,West,Furniture,Furnishings,22.14,3,0.0,6.4206,4,3,1,1,2017,21,22.14
Standard Class,Consumer,Seattle,Washington,98115,West,Furniture,Furnishings,10.11,3,0.0,3.2352,4,10,4,6,2015,18,10.11
Standard Class,Corporate,Buffalo,New York,14215,East,Furniture,Furnishings,199.9,5,0.0,39.98,4,11,4,3,2014,27,199.9
Standard Class,Consumer,Tulsa,Oklahoma,74133,Central,Furniture,Furnishings,477.3,5,0.0,138.417,7,5,2,5,2017,27,477.3
Standard Class,Corporate,Seattle,Washington,98115,West,Furniture,Furnishings,31.96,2,0.0,1.598,4,11,4,5,2016,19,31.96
Standard Class,Consumer,Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings,26.94,3,0.0,11.3148,4,5,2,3,2016,26,26.94
Standard Class,Corporate,Seattle,Washington,98105,West,Furniture,Furnishings,137.54,2,0.0,55.016,7,11,4,1,2014,18,137.54
Standard Class,Corporate,Green Bay,Wisconsin,54302,Central,Furniture,Furnishings,18.96,2,0.0,7.584,4,9,3,3,2016,22,18.96
Standard Class,Home Office,Richmond,Indiana,47374,Central,Furniture,Furnishings,18.96,2,0.0,8.532,6,1,1,5,2017,14,18.96
Standard Class,Consumer,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,7,11,4,1,2014,11,665.88
Second Class,Consumer,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,2,5,2,1,2014,13,55.5
Second Class,Consumer,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,5,10,4,0,2014,20,211.96
First Class,Consumer,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,1,6,2,4,2016,17,208.56
First Class,Consumer,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368,3,6,2,6,2016,12,226.56
Standard Class,Home Office,Westfield,New Jersey,7090,East,Office Supplies,Storage,46.26,3,0.0,12.0276,7,11,4,0,2017,6,46.26
Standard Class,Consumer,Saginaw,Michigan,48601,Central,Office Supplies,Storage,83.92,4,0.0,5.8744,6,12,4,4,2017,1,83.92
Standard Class,Consumer,Saginaw,Michigan,48601,Central,Office Supplies,Storage,91.99,1,0.0,3.6796,6,12,4,4,2017,1,91.99
Standard Class,Corporate,Detroit,Michigan,48227,Central,Office Supplies,Storage,21.98,1,0.0,0.2198,7,8,3,6,2015,9,21.98
Second Class,Home Office,Lakeville,Minnesota,55044,Central,Office Supplies,Storage,166.72,2,0.0,41.68,5,6,2,6,2014,1,166.72
Standard Class,Corporate,Belleville,New Jersey,7109,East,Office Supplies,Storage,1082.48,8,0.0,10.8248,6,10,4,4,2016,28,1082.48
Same Day,Corporate,Manchester,Connecticut,6040,East,Office Supplies,Storage,104.79,7,0.0,29.3412,0,10,4,4,2016,21,104.79
Second Class,Corporate,Warwick,Rhode Island,2886,East,Office Supplies,Storage,49.96,2,0.0,9.4924,2,10,4,1,2017,17,49.96
Standard Class,Corporate,Lawrence,Massachusetts,1841,East,Office Supplies,Storage,32.7,3,0.0,8.502,4,10,4,3,2017,19,32.7
First Class,Consumer,Lowell,Massachusetts,1852,East,Office Supplies,Storage,714.3,5,0.0,207.147,1,6,2,0,2016,6,714.3
Second Class,Consumer,Detroit,Michigan,48227,Central,Office Supplies,Storage,194.94,3,0.0,23.3928,2,9,3,0,2016,5,194.94
Second Class,Consumer,Detroit,Michigan,48227,Central,Office Supplies,Storage,70.95,3,0.0,20.5755,2,9,3,0,2016,5,70.95
Second Class,Consumer,Auburn,New York,13021,East,Office Supplies,Storage,161.94,3,0.0,9.7164,2,4,2,4,2016,1,161.94
Standard Class,Consumer,Rochester,New York,14609,East,Office Supplies,Storage,449.15,5,0.0,8.983,5,9,3,6,2014,14,449.15
Standard Class,Consumer,Atlanta,Georgia,30318,South,Office Supplies,Storage,46.74,3,0.0,11.685,6,3,1,0,2015,16,46.74
Standard Class,Home Office,Great Falls,Montana,59405,West,Office Supplies,Storage,51.45,3,0.0,13.8915,5,1,1,6,2017,22,51.45
Standard Class,Home Office,Great Falls,Montana,59405,West,Office Supplies,Storage,1126.02,3,0.0,56.301,5,1,1,6,2017,22,1126.02
Standard Class,Corporate,Dearborn,Michigan,48126,Central,Office Supplies,Storage,523.48,4,0.0,130.87,4,11,4,6,2015,29,523.48
Second Class,Consumer,Waynesboro,Virginia,22980,South,Office Supplies,Storage,36.84,3,0.0,10.3152,2,6,2,5,2014,21,36.84
Standard Class,Corporate,Detroit,Michigan,48205,Central,Office Supplies,Storage,296.37,3,0.0,80.0199,4,12,4,3,2016,15,296.37
First Class,Consumer,Oceanside,New York,11572,East,Office Supplies,Storage,33.63,3,0.0,10.089,3,12,4,5,2016,3,33.63
Standard Class,Home Office,Seattle,Washington,98115,West,Office Supplies,Storage,242.94,3,0.0,9.7176,4,1,1,5,2017,21,242.94
Standard Class,Consumer,Cottage Grove,Minnesota,55016,Central,Office Supplies,Storage,24.56,2,0.0,6.8768,4,12,4,0,2014,29,24.56
Second Class,Corporate,Bossier City,Louisiana,71111,South,Office Supplies,Storage,572.58,6,0.0,34.3548,2,1,1,0,2014,13,572.58
Standard Class,Consumer,Richmond,Virginia,23223,South,Office Supplies,Storage,15.42,1,0.0,4.1634,4,6,2,4,2015,26,15.42
Standard Class,Consumer,Springfield,Virginia,22153,South,Office Supplies,Storage,30.84,2,0.0,8.3268,4,10,4,4,2015,9,30.84
Standard Class,Home Office,Jackson,Michigan,49201,Central,Office Supplies,Storage,352.38,2,0.0,81.0474,5,9,3,5,2017,2,352.38
Standard Class,Consumer,Alexandria,Virginia,22304,South,Office Supplies,Storage,24.56,2,0.0,6.8768,7,12,4,4,2014,5,24.56
Standard Class,Consumer,Seattle,Washington,98105,West,Office Supplies,Storage,540.57,3,0.0,140.5482,5,5,2,4,2015,29,540.57
